"id_mot";"titre";"descriptif";"texte";"id_groupe";"type";"extra";"maj"
"1";"Grupo Ecologista Salicor";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"2";"Red Ciudadana Por la Abolición de la Deuda Externa";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"3";"Ayuda en Acción";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"4";"CCOO";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"5";"Caritas";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"6";"Comité Óscar Romero";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"7";"Asociación de Ayuda al Pueblo Saharaui Viento del Desierto";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"8";"Grupo Scout Quimera";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"9";"Asociación de Mujeres Hontanillas";;;"1";"Asociaciones";;"2012-10-05 12:38:31"
"10";"Última hora";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"11";"Comunicados";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"12";"Interesante";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"13";"Invisible";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"14";"Destacados";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"16";"Banner";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"17";"Contactar";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"18";"Foro";;;"2";"Maquetación";;"2012-10-05 12:38:31"
"19";"Sitios destacados";;;"2";"Maquetación";;"2012-10-05 12:38:32"
"21";"Sitios interesantes";;;"2";"Maquetación";;"2012-10-05 12:38:32"
"22";"Foro aviso";;;"2";"Maquetación";;"2012-10-05 12:38:32"
"23";"Foro cerrado";;;"2";"Maquetación";;"2012-10-05 12:38:32"
"24";"Periodico";;;"2";"Maquetación";;"2012-10-05 12:38:32"
"25";"rub_gaforum";;;"3";"gafospip";;"2012-10-05 12:38:32"
"26";"ferme";;;"3";"gafospip";;"2012-10-05 12:38:32"
"27";"annonce";;;"3";"gafospip";;"2012-10-05 12:38:32"
"28";"Campanias";;;"2";"Maquetación";;"2012-10-05 12:38:32"
"29";"Foto";;;"4";"Media";;"2012-10-05 12:38:32"
"30";"Audio";;;"4";"Media";;"2012-10-05 12:38:33"
"31";"Video";;;"4";"Media";;"2012-10-05 12:38:33"
"32";"Foro Social de Campo de Criptana";;;"1";"Asociaciones";NULL;"2013-02-11 20:23:03"
"34";"asociaciones, asociaciones culturales, asociaciones sociales, asociaciones socioculturales, campo de criptana, castilla la mancha, ciudad real, cultura, turismo, sociedad, democracia participativa, educación, cultura, política, sanidad, medio ambiente, economía, urbanismo, patrimonio";;;"5";"Principal";NULL;"2013-02-11 20:40:09"
